asset_id,asset_name,ip_address,vuln_details.asset_count,vuln_details.asset_fixed_count,vuln_details.asset_mitigated_count,vuln_details.finding_number,vuln_details.finding_name,vuln_details.finding_count,vuln_details.finding_cve,vuln_details.finding_discovered,vuln_details.finding_exploitable,vuln_details.finding_iava,vuln_details.finding_result,vuln_details.finding_severity,vuln_details.finding_status,vuln_details.issue_open_count,vuln_details.issue_closed_count,vuln_details.issues,vuln_details.scan_date,vuln_details.scan_type,vuln_details.due_date
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-3246-3359b70115a8566fb2edca9926e558a9,A heap buffer overflow vulnerability in msadpcm_decode_block of libsndfile 1.0.30 allows attackers to execute arbitrary code via - Severity Adjusted From: Medium,1,CVE-2021-3246,2021-09-08 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-22555-53aef25173495eba9f8c32b1bfa9b161,A heap out-of-bounds write affecting Linux since v2.6.19-rc1 was discovered in net/netfilter/x_tables.c. This allows an attacker - Severity Adjusted From: Medium,1,CVE-2021-22555,2021-07-20 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-4034-6d808c7547eff9876711d8aac01af7cf,A local privilege escalation vulnerability was found on polkit's pkexec utility. The pkexec application is a setuid tool designe - Severity Adjusted From: High,1,CVE-2021-4034,2022-02-09 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-3752-86eed6aeb5dcfa9b4e3441106db21776,A use-after-free flaw was found in the Linux kernel?s Bluetooth subsystem in the way user calls connect to the socket and discon - Severity Adjusted From: High,1,CVE-2021-3752,2022-04-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-45417-acce85a9fc0bf3e334efa4ddf2c45a2e,AIDE before 0.17.4 allows local users to obtain root privileges via crafted file metadata (such as XFS extended attributes or tm - Severity Adjusted From: High,1,CVE-2021-45417,2022-02-23 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-22543-91580fd89ea2d462b81f54f3a57446b3,An issue was discovered in Linux: KVM through Improper handling of VM_IO|VM_PFNMAP vmas in KVM can bypass RO checks and can lead - Severity Adjusted From: Medium,1,CVE-2021-22543,2021-10-26 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-42574-53b89a0f8cbfa1b1144a17ede6977962,An issue was discovered in the Bidirectional Algorithm in the Unicode Specification through 14.0. It permits the visual reorderi - Severity Adjusted From: Medium,1,CVE-2021-42574,2021-11-17 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-29457-938c485151142df2bd3a6f8ef14f49b6,"Exiv2 is a command-line utility and C++ library for reading, writing, deleting, and modifying the metadata of image files. A hea - Severity Adjusted From: Medium",1,CVE-2021-29457,2021-11-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-45960-34ed3a8f7c90a98dbea5bddae5128009,"In Expat (aka libexpat) before 2.4.3, a left shift by 29 (or more) places in the storeAtts function in xmlparse.c can lead to re - Severity Adjusted From: High",1,CVE-2021-45960,2022-04-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2022-25315-6ba8a0e4353b39cae8c7ab16dc378f54,"In Expat (aka libexpat) before 2.4.5, there is an integer overflow in storeRawNames. - Severity Adjusted From: High",1,CVE-2022-25315,2022-04-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-46143-3dc036db36f2625c2e5cc9f7f503cca4,"In doProlog in xmlparse.c in Expat (aka libexpat) before 2.4.3, an integer overflow exists for m_groupSize. - Severity Adjusted From: Medium",1,CVE-2021-46143,2022-04-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-33034-36c794a11f4544c068d4352de4d190a7,"In the Linux kernel before 5.12.4, net/bluetooth/hci_event.c has a use-after-free when destroying an hci_chan, aka CID-5c4c8c954 - Severity Adjusted From: Medium",1,CVE-2021-33034,2021-07-28 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,155762-41fd2879d3fe73ccf72a8d1e3c99285b,RHEL 7 : nss (RHSA-2021:4904),1,"CVE-2021-43527,CWE-120",2022-04-26 16:31:18,1,,FAILED,Critical,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2016-2183-68659ee61308117c48a6b1c75be53bea,"The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday b - Severity Adjusted From: Medium",1,CVE-2016-2183,2019-07-31 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-33033-173273539126247624df3048a9688bce,The Linux kernel before 5.11.14 has a use-after-free in cipso_v4_genopt in net/ipv4/cipso_ipv4.c because the CIPSO and CALIPSO r - Severity Adjusted From: Medium,1,CVE-2021-33033,2021-07-28 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-44142-5763326a10e5e22a6c57c3d14f6f1655,"The Samba vfs_fruit module uses extended file attributes (EA, xattr) to provide ""...enhanced compatibility with Apple SMB client - Severity Adjusted From: High",1,CVE-2021-44142,2022-03-02 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-37576-39bdecae7535db258206e8d59c5366e7,arch/powerpc/kvm/book3s_rtas.c in the Linux kernel through 5.13.5 on the powerpc platform allows KVM guest OS users to cause hos - Severity Adjusted From: High,1,CVE-2021-37576,2021-10-26 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-33909-48d67bcabf657ecc67b3e4dd454409b4,"fs/seq_file.c in the Linux kernel 3.16 through 5.13.x before 5.13.4 does not properly restrict seq buffer allocations, leading t - Severity Adjusted From: High",1,CVE-2021-33909,2021-07-28 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-32399-2caced3254367c9b792d828680a7e051,net/bluetooth/hci_request.c in the Linux kernel through 5.12.2 has a race condition for removal of the HCI controller. - Severity Adjusted From: Medium,1,CVE-2021-32399,2021-09-08 00:00:00,1,,FAILED,Critical,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,156032-bfbc3c101214e9b324232c6d71522a87,Apache Log4j Unsupported Version Detection,1,,2022-04-26 16:31:18,0,,FAILED,Critical,Active,0,0,,2022-05-06 06:00:12,NESSUS,
