asset_id,asset_name,ip_address,vuln_details.asset_count,vuln_details.asset_fixed_count,vuln_details.asset_mitigated_count,vuln_details.finding_number,vuln_details.finding_name,vuln_details.finding_count,vuln_details.finding_cve,vuln_details.finding_discovered,vuln_details.finding_exploitable,vuln_details.finding_iava,vuln_details.finding_result,vuln_details.finding_severity,vuln_details.finding_status,vuln_details.issue_open_count,vuln_details.issue_closed_count,vuln_details.issues,vuln_details.scan_date,vuln_details.scan_type,vuln_details.due_date
20006527,soar.aa.com,10.186.111.250,1,0,0,158266-63ab2735797b8f5d52e7f328e9596dbb,RHEL 7 : kernel (RHSA-2022:0620),1,"CVE-2021-4155,CVE-2021-3573,CVE-2022-0330,CVE-2021-3752,CVE-2020-0465,CVE-2022-22942,CVE-2020-0466,CVE-2021-3564,CVE-2021-0920,CWE-416,CWE-415,CWE-281,CWE-787,CWE-200,CWE-20,CWE-362,CWE-131",2022-04-26 16:31:18,2,,FAILED,High,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2020-15778-32dd1dff555e6aee44a22e89f1a78338,"** DISPUTED ** scp in OpenSSH through 8.3p1 allows command injection in the scp.c toremote function, as demonstrated by backtick - Severity Adjusted From: Medium",1,CVE-2020-15778,2021-02-24 00:00:00,1,,FAILED,High,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-3564-cd0aaf0e28457f763896aa1bc0352691,A flaw double-free memory corruption in the Linux kernel HCI device initialization subsystem was found in the way user attach ma - Severity Adjusted From: Low,1,CVE-2021-3564,2022-04-02 00:00:00,1,,FAILED,High,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2020-27777-2c61af8987956f95596474d86b8d1eb0,A flaw was found in the way RTAS handled memory accesses in userspace to kernel communication. On a locked down (usually due to ,1,CVE-2020-27777,2021-09-08 00:00:00,1,,FAILED,High,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-3573-e219235dc9d3851912abe5f26484a894,A use-after-free in function hci_sock_bound_ioctl() of the Linux kernel HCI subsystem was found in the way user calls ioct HCIUN - Severity Adjusted From: Medium,1,CVE-2021-3573,2022-04-02 00:00:00,1,,FAILED,High,Active,0,0,,2022-05-05,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,151888-566f0af07f392a70279b00309b73617e,RHEL 7 : kernel (RHSA-2021:2725),1,"CVE-2021-33034,CVE-2021-33909,CVE-2021-33033,CVE-2020-11668,CVE-2019-20934,CWE-416,CWE-787,CWE-476,CWE-20",2022-04-26 16:31:18,1,2021-A-0350,FAILED,High,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,152935-e89eaaf8945b405cbdf7834d40edc269,RHEL 7 : kernel (RHSA-2021:3327),1,"CVE-2020-27777,CVE-2021-22555,CVE-2021-32399,CVE-2021-29650,CVE-2021-29154,CWE-119,CWE-862,CWE-667,CWE-787,CWE-662,CWE-362",2022-04-26 16:31:18,1,,FAILED,High,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,159533-5dd9e795bc878cd2e6dd1540dc06b0fd,RHEL 7 : kernel (RHSA-2022:1198),1,"CVE-2021-4028,CVE-2021-4083,CWE-416",2022-04-26 16:31:18,1,,FAILED,High,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,157136-7b7521bca8722e9b4771b9577c10613d,RHEL 7 : polkit (RHSA-2022:0274),1,"CVE-2021-4034,CWE-125,CWE-787",2022-04-26 16:31:18,1,2022-A-0055,FAILED,High,Active,0,0,,2022-05-06 06:00:12,NESSUS,
20006527,soar.aa.com,10.186.111.250,1,0,0,CVE-2021-3715-85714e96575a2577f5d141e05e7c169b,"A flaw was found in the ""Routing decision"" classifier in the Linux kernel's Traffic Control networking subsystem in the way it h",1,CVE-2021-3715,2021-09-14 00:00:00,0,,FAILED,High,Active,0,0,,2022-05-05,NESSUS,
